scenario,month,cost_brl_t,days,p_interrupt_pct,port,route
drought,Oct,562.1,46.44,8.25,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought,Oct,572.5,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought,Nov,553.1,46.44,8.25,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought,Nov,560.9,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought,Dec,533.9,45.44,9.25,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
drought,Dec,553.6,43.29,7.41,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
drought,Dec,636.9,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
ferrograo,Jan,486.5,45.11,7.27,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Jan,581.1,43.29,7.41,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
ferrograo,Jan,652.7,46.91,5.39,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
ferrograo,Jan,674,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
ferrograo,Feb,489.9,48.11,8.21,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Feb,624.5,46.29,8.34,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
ferrograo,Feb,672.2,51.91,6.34,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
ferrograo,Feb,732.5,49.04,4.44,Santos,Sorriso > Santos > Santos (ship) > Shanghai
ferrograo,Mar,491.1,48.11,8.21,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Mar,639.4,46.29,8.34,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
ferrograo,Mar,678.9,51.91,6.34,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
ferrograo,Mar,752.7,49.04,4.44,Santos,Sorriso > Santos > Santos (ship) > Shanghai
ferrograo,Apr,489.9,48.11,8.21,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Apr,588.9,47.44,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Apr,624.8,45.29,4.44,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
ferrograo,May,488.7,48.11,8.21,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,May,576.6,47.44,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,May,608.9,45.29,4.44,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
ferrograo,Jun,489,45.11,7.27,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Jun,580,44.44,5.39,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Jun,613.2,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
ferrograo,Jul,489.3,45.11,7.27,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Jul,582.8,44.44,5.39,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Jul,616.9,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
ferrograo,Aug,488.4,45.11,7.27,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Aug,573.8,44.44,5.39,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Aug,605.3,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
ferrograo,Sep,492.1,45.61,8.21,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Sep,570.4,44.94,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Sep,595,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
ferrograo,Oct,490.3,45.61,8.21,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Oct,553,44.94,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Oct,572.5,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
ferrograo,Nov,489.4,45.61,8.21,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Nov,544.1,44.94,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Nov,560.9,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
ferrograo,Dec,484.3,45.11,7.27,Santarem,Sorriso > Sinop > Sinop (rail) > Miritituba (rail) > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
ferrograo,Dec,553.6,43.29,7.41,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
ferrograo,Dec,636.9,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
rumo_ext,Jan,555.2,45.44,9.25,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
rumo_ext,Jan,581.1,43.29,7.41,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
rumo_ext,Jan,651.5,47.82,6.33,Santos,Sorriso > Lucas do Rio Verde > Lucas (rail) > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
rumo_ext,Jan,652.7,46.91,5.39,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
rumo_ext,Jan,674,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
rumo_ext,Feb,588.7,48.44,10.16,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
rumo_ext,Feb,624.5,46.29,8.34,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
rumo_ext,Feb,654.4,52.82,7.28,Santos,Sorriso > Lucas do Rio Verde > Lucas (rail) > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
rumo_ext,Feb,672.2,51.91,6.34,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
rumo_ext,Feb,732.5,49.04,4.44,Santos,Sorriso > Santos > Santos (ship) > Shanghai
rumo_ext,Mar,600.2,48.44,10.16,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
rumo_ext,Mar,639.4,46.29,8.34,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
rumo_ext,Mar,655.3,52.82,7.28,Santos,Sorriso > Lucas do Rio Verde > Lucas (rail) > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
rumo_ext,Mar,678.9,51.91,6.34,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
rumo_ext,Mar,752.7,49.04,4.44,Santos,Sorriso > Santos > Santos (ship) > Shanghai
rumo_ext,Apr,588.9,47.44,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
rumo_ext,Apr,624.8,45.29,4.44,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
rumo_ext,May,576.6,47.44,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
rumo_ext,May,608.9,45.29,4.44,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
rumo_ext,Jun,580,44.44,5.39,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
rumo_ext,Jun,613.2,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
rumo_ext,Jul,582.8,44.44,5.39,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
rumo_ext,Jul,616.9,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
rumo_ext,Aug,573.8,44.44,5.39,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
rumo_ext,Aug,605.3,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
rumo_ext,Sep,570.4,44.94,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
rumo_ext,Sep,595,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
rumo_ext,Oct,553,44.94,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
rumo_ext,Oct,572.5,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
rumo_ext,Nov,544.1,44.94,6.34,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
rumo_ext,Nov,560.9,42.29,3.47,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
rumo_ext,Dec,533.9,45.44,9.25,Santarem,Sorriso > Miritituba > Miritituba (barge) > Santarem > Santarem (ship) > Shanghai
rumo_ext,Dec,553.6,43.29,7.41,Santarem,Sorriso > Santarem > Santarem (ship) > Shanghai
rumo_ext,Dec,636.9,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
br163_blocked,Jan,626.5,49.12,9.25,Itacoatiara,Sorriso > Porto Velho > Porto Velho (barge) > Itacoatiara > Itacoatiara (ship) > Shanghai
br163_blocked,Jan,652.7,46.91,5.39,Santos,Sorriso > Rondonopolis > Rondonopolis (rail) > Santos > Santos (ship) > Shanghai
br163_blocked,Jan,674,44.04,3.47,Santos,Sorriso > Santos > Santos (ship) > Shanghai
